{'timestamp': '2025-06-24 09:48:28.836191', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:29.019306', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:39.036299', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:49.040691', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:59.041656', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:09.048081', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:19.055846', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:29.060545', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:39.067011', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:49.068128', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:52:59.072383', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:09.104341', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:19.235880', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:29.243879', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:39.258806', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:49.259069', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:53:59.263837', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:54:09.269259', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:55:37.230756', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:55:47.236894', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:55:57.255622', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:07.261013', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:17.264384', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:27.272725', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:37.312106', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:47.323967', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:56:57.336939', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:07.345338', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:17.353207', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:27.360245', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:37.366435', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:47.372642', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:57:57.380169', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:58:07.387699', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:58:17.393109', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:58:27.400945', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:58:54.005132', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:59:04.014519', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
